date,cases,deaths
1/21/2020,1,0
1/22/2020,1,0
1/23/2020,1,0
1/24/2020,2,0
1/25/2020,3,0
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,5,0
1/30/2020,6,0
1/31/2020,7,0
2/1/2020,8,0
2/2/2020,11,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,0
2/11/2020,13,0
2/12/2020,14,0
2/13/2020,15,0
2/14/2020,15,0
2/15/2020,15,0
2/16/2020,15,0
2/17/2020,25,0
2/18/2020,25,0
2/19/2020,25,0
2/20/2020,27,0
2/21/2020,30,0
2/22/2020,30,0
2/23/2020,30,0
2/24/2020,43,0
2/25/2020,45,0
2/26/2020,60,0
2/27/2020,60,0
2/28/2020,65,0
2/29/2020,70,1
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18001,275
3/21/2020,24526,358
3/22/2020,33063,455
3/23/2020,43500,574
3/24/2020,53924,769
3/25/2020,68530,1039
3/26/2020,85558,1345
3/27/2020,102829,1758
3/28/2020,123723,2287
3/29/2020,142397,2702
3/30/2020,163863,3356
3/31/2020,188413,4290
4/1/2020,215161,5315
4/2/2020,244619,6542
4/3/2020,277262,7902
4/4/2020,312498,9466
4/5/2020,337959,10828
4/6/2020,367568,12330
4/7/2020,399352,14579
4/8/2020,431169,16673
4/9/2020,465859,18772
4/10/2020,499325,21028
4/11/2020,531042,23105
4/12/2020,558182,24785
4/13/2020,583940,26547
4/14/2020,610615,29246
4/15/2020,640637,31994
4/16/2020,672243,34264
4/17/2020,703740,36626
4/18/2020,732121,38571
4/19/2020,757475,40089
4/20/2020,784761,41919
4/21/2020,810249,44587
4/22/2020,839017,46955
4/23/2020,872805,49123
4/24/2020,909530,51250
4/25/2020,943802,53210
4/26/2020,970409,54465
4/27/2020,993747,56022
4/28/2020,1018399,58416
4/29/2020,1045102,60930
4/30/2020,1075517,63140
5/1/2020,1109476,64902
5/2/2020,1138944,66485
5/3/2020,1165013,67816
5/4/2020,1186965,68905
5/5/2020,1210669,71139
5/6/2020,1235174,73847
5/7/2020,1263668,75805
5/8/2020,1291329,77380
5/9/2020,1316167,78834
5/10/2020,1336478,79765
5/11/2020,1354096,80747
5/12/2020,1376388,82400
5/13/2020,1397520,84168
5/14/2020,1424474,85906
5/15/2020,1450700,87499
5/16/2020,1474351,88724
5/17/2020,1493350,89568
5/18/2020,1515177,90414
5/19/2020,1536129,91934
5/20/2020,1559003,93406
5/21/2020,1584826,94721
5/22/2020,1608710,96010
5/23/2020,1630912,97060
5/24/2020,1651004,97680
5/25/2020,1670101,98190
5/26/2020,1688958,98937
5/27/2020,1707719,100422
5/28/2020,1730190,101626
